Bulan, Produksi (kWh) , Penjualan (kWh) , BPP , Rumus , Pendapatan , Beban Pembelian Tenaga Listrik , Beban Sewa , Beban Bio Solar , Beban Batubara , Beban Biomassa , Beban Kimia , Beban Minyak Pelumas , Beban Pemeliharaan , Beban Kepegawaian , Beban Penyusutan Aset Tetap , Beban Penyusutan Aset Tetap (Sewa) , Beban Administrasi , Beban Emisi Carbon , Beban Fee EPI , Beban Lain-lain , Profit 
Jan-23,"  299,218,080 ","  278,212,514 ",  807.849 ,  807.822 ,"  281,205,588,795 ",  -   ,"  319,079,655 ","  1,958,599,245 ","  177,361,965,416 ","  2,493,668,726 ",  -   ,  -   ,"  6,471,347,545 ","  3,257,085,719 ","  30,997,495,555 ","  67,491,444 ","  1,819,378,521 ",  -   ,  -   ,  -   ,"  54,997,884,787 "
Feb-23,"  560,598,080 ","  520,068,817 ",  839.135 ,  839.064 ,"  489,623,613,453 ","  1,789,737,827 ","  645,025,310 ","  9,412,017,158 ","  337,750,385,468 ","  3,145,573,933 ",  -   ,  -   ,"  14,275,600,250 ","  7,492,687,493 ","  61,846,574,871 ","  149,551,316 ","  (135,948,923)",  -   ,  -   ,  -   ,"  52,312,277,615 "
Mar-23,"  573,447,840 ","  532,600,302 ","  1,033.032 ","  1,032.982 ","  565,796,437,659 ","  7,442,040,637 ","  981,848,965 ","  29,597,223,542 ","  344,838,630,207 ","  2,818,154,011 ",  -   ,  -   ,"  41,862,254,784 ","  13,154,734,488 ","  92,684,792,333 ","  224,326,974 ","  16,562,322,764 ",  -   ,  -   ,  -   ,"  7,801,366,602 "
Apr-23,"  690,484,480 ","  641,425,855 ","  1,093.034 ","  1,092.980 ","  747,164,878,824 ","  12,799,350,874 ","  1,282,486,620 ","  41,768,075,415 ","  439,038,330,402 ","  3,314,903,061 ",  -   ,  -   ,"  55,615,292,254 ","  16,449,733,461 ","  126,395,636,635 ","  299,102,632 ","  4,102,644,117 ",  -   ,  -   ,  -   ,"  38,167,552,027 "
May-23,"  934,967,040 ","  868,288,554 ","  1,043.748 ","  1,043.700 ","  1,016,202,700,626 ","  13,649,319,584 ","  1,621,581,065 ","  47,684,116,984 ","  586,612,197,852 ","  4,105,847,730 ",  -   ,  -   ,"  69,870,794,803 ","  19,577,384,106 ","  157,370,535,217 ","  373,878,290 ","  5,366,690,171 ",  -   ,  -   ,  -   ,"  103,113,263,850 "
Jun-23,"  1,164,499,840 ","  1,081,093,219 ","  1,027.769 ","  1,027.723 ","  1,283,859,603,311 ","  13,673,289,335 ","  1,987,676,549 ","  49,093,669,226 ","  729,036,286,083 ","  7,314,911,845 ",  -   ,  -   ,"  89,437,827,179 ","  25,157,202,875 ","  188,323,632,582 ","  448,653,948 ","  6,591,241,272 ",  -   ,  -   ,  -   ,"  164,973,467,455 "
Jul-23,"  1,316,698,880 ","  1,222,378,412 ","  1,055.764 ","  1,055.717 ","  1,446,001,725,552 ","  17,634,352,948 ","  2,311,762,734 ","  65,927,109,163 ","  840,116,978,371 ","  7,303,195,572 ",  -   ,  -   ,"  100,945,198,100 ","  28,661,155,403 ","  219,273,423,100 ","  523,429,606 ","  7,789,457,722 ",  -   ,  -   ,  -   ,"  148,277,792,358 "
Aug-23,"  1,505,710,080 ","  1,397,774,152 ","  1,055.959 ","  1,055.914 ","  1,658,109,384,159 ","  20,875,105,548 ","  2,655,384,919 ","  79,257,745,559 ","  957,217,153,893 ","  7,802,147,940 ",  -   ,  -   ,"  116,888,801,417 ","  31,193,715,385 ","  250,223,213,618 ","  598,205,264 ","  9,217,872,981 ",  -   ,  -   ,  -   ,"  174,781,648,283 "
Sep-23,"  1,745,390,080 ","  1,620,986,415 ","  1,032.283 ","  1,032.240 ","  1,891,264,469,038 ","  22,528,742,912 ","  2,982,357,104 ","  82,784,351,686 ","  1,104,171,786,674 ","  10,748,594,487 ",  -   ,  -   ,"  122,797,060,815 ","  34,888,055,861 ","  281,173,004,136 ","  672,980,922 ","  10,499,905,765 ",  -   ,  -   ,  -   ,"  198,964,923,835 "
Oct-23,"  1,965,113,920 ","  1,824,987,824 ","  1,026.257 ","  1,026.212 ","  2,136,063,718,570 ","  26,419,820,782 ","  3,321,095,289 ","  90,056,052,040 ","  1,240,804,833,304 ","  13,459,195,440 ",  -   ,  -   ,"  134,715,601,713 ","  39,073,796,523 ","  312,241,740,654 ","  765,741,309 ","  11,966,214,212 ",  -   ,  -   ,  -   ,"  244,097,083,541 "
Nov-23,"  2,148,526,240 ","  1,994,426,822 ","  1,036.086 ","  1,036.040 ","  2,349,907,906,060 ","  26,419,820,782 ","  3,657,835,474 ","  105,176,745,622 ","  1,355,890,341,762 ","  17,090,179,837 ",  -   ,  -   ,"  156,930,530,045 ","  42,824,285,521 ","  342,941,687,148 ","  874,737,494 ","  14,498,907,427 ",  -   ,  -   ,  -   ,"  247,554,869,786 "
Dec-23,"  2,458,435,840 ","  2,284,257,197 ","  1,025.753 ","  1,025.708 ","  2,676,098,199,431 ","  33,789,407,949 ","  3,991,689,659 ","  107,286,920,567 ","  1,563,527,337,530 ","  17,712,145,869 ",  -   ,  -   ,"  171,669,833,710 ","  54,642,891,596 ","  373,273,075,323 ","  967,531,086 ","  16,119,157,981 ",  -   ,  -   ,  -   ,"  279,007,216,362 "
Jan-24,"  308,340,480 ","  288,131,729 ",  878.000 ,  876.436 ,"  321,220,250,843 ","  91,513,773 ","  162,187,690 ","  1,290,078,793 ","  200,453,380,375 ","  3,425,010,261 ",  -   ,  -   ,"  10,174,156,219 ","  3,843,913,930 ","  30,490,516,019 ","  381,989,163 ","  1,989,148,478 ",  -   ,"  681,017,588 ","  (453,783,969)","  67,783,554,585 "
